date,region,crop_type,soil_type,soil_ph,soil_moisture,temperature,rainfall,sunlight_hours,fertilizer_used,pesticides_used,previous_crop,yield
2020-01-01,South,Corn,Clay,5.850326680738637,27.777729075691624,32.25730560280208,236.115478500204,14.915207099284263,94.94694443067263,21.313657235702415,Corn,1.093883939779655
2020-01-02,North,Wheat,Loamy,5.310819359161799,13.34193852271667,31.770808502287725,58.04421594061397,5.35279989342159,117.30715574629298,10.762036478877302,Wheat,2.05242293314375
2020-01-03,East,Corn,Sandy,6.398614021079131,37.3218307941837,20.504860558154803,261.3359055561149,5.421288174930744,138.92609092403364,22.720951439570026,Corn,8.499578325239892
2020-01-04,East,Corn,Sandy,5.565983379380493,30.35813050387239,18.112974054705425,83.95573917220463,8.76357730527376,183.18598523148685,27.69004319813485,Wheat,6.958456021541797
2020-01-05,West,Rice,Sandy,5.427618200632737,16.26953755508722,23.226726868029317,98.26540012764346,13.361468432935624,164.18320771832782,22.551679766713605,Corn,6.7778855479158455
2020-01-06,South,Corn,Clay,5.727966061380632,28.502012502583266,32.50172038309408,162.9904825077242,13.087168306888064,110.93769831147503,47.50371974826236,Corn,4.8300919273690965
2020-01-07,East,Corn,Sandy,5.763522076427897,25.85478694831145,33.51177474978364,88.28227697353077,11.07968938567543,156.10778095890146,35.14773136276598,Corn,5.781082143588381
2020-01-08,North,Rice,Loamy,7.909766471522263,21.807186729371153,19.465454095104715,294.3837461953498,11.388899053251698,114.77594022939103,11.184235474139758,Wheat,8.330298887857296
2020-01-09,South,Wheat,Clay,6.0444032155363825,30.193043019717987,21.156496878863866,261.58313475531907,9.054749565603977,161.6450580816357,44.176330923188544,Wheat,3.614530483344173
2020-01-10,West,Wheat,Clay,5.639945348088901,28.053241362231894,22.42453713333982,129.04511920925685,9.313462473169402,63.900584356144705,44.330504945383865,Rice,1.502123301010522
2020-01-11,West,Rice,Sandy,6.7468818862249815,24.24098895040554,26.79450865671454,194.7009843499185,9.776193236437019,62.18173042842546,47.92198735943222,Corn,3.674772740816178
2020-01-12,South,Rice,Loamy,7.588469035923848,11.038569176568306,26.708588368148263,244.5536229583468,12.830587977328003,198.1041613605376,30.92017038212015,Wheat,2.309073010327882
2020-01-13,North,Corn,Sandy,7.860028173235635,27.179408644363747,32.38367777909036,217.93483243626946,10.580774695140086,115.94804330906447,36.56553678055286,Rice,3.414754577969168
2020-01-14,East,Wheat,Clay,6.9078983246372125,25.282818272648225,23.598365701275945,216.15373445135663,6.227526947910343,171.9782303890035,32.27031338888119,Rice,8.570233821679436
2020-01-15,South,Wheat,Sandy,5.592246029513019,24.680859922783554,15.894205421742749,286.2059885799613,14.78548318694456,69.77397972070878,44.42553791300483,Wheat,3.0070913278747575
2020-01-16,North,Wheat,Loamy,7.276729994066349,21.639019991107133,33.36537151455203,91.9014636357583,8.40501069954253,174.205454938731,35.19549873019903,None,9.39813510423354
2020-01-17,West,Rice,Clay,5.535321884153556,38.59353672821979,34.15921705702999,184.18802507656028,5.143892696300715,137.37417240656154,34.432106999649484,Wheat,9.069793380432255
2020-01-18,South,Corn,Sandy,6.567229961112556,13.992699406915376,17.375696721026422,224.78171024395098,11.21079828216323,87.7859253823431,17.697617055065656,Wheat,6.384502369547274
2020-01-19,East,Corn,Loamy,7.517571262636045,36.40376161419309,19.127015885250252,226.22923944531072,7.32604882074175,151.4650876514484,30.4687964796295,Rice,9.312898569616983
2020-01-20,North,Wheat,Sandy,7.882483383520674,17.2896611597505,28.119445019928193,58.49896117932519,13.383587173347557,132.47267986611683,23.311203130425685,Corn,6.728833584525599
2020-01-21,West,Rice,Sandy,7.065594788556395,23.96340977485155,18.00865520812562,115.81258177653129,6.772172676310212,197.34244735563826,15.92997579699901,Wheat,5.694937257802818
2020-01-22,West,Wheat,Clay,5.029900652164011,30.439155451783222,15.158231921382914,193.52528660170438,14.635339206535216,57.99507082739683,43.299442093193136,Corn,2.4198787151440517
2020-01-23,East,Wheat,Loamy,5.1856135672914565,17.609751810941844,25.054273075036736,73.67554586004935,7.753327285494321,91.83800837636306,19.35968062054149,Wheat,7.393402492466583
2020-01-24,North,Corn,Clay,7.730330399376818,17.854594445295163,19.94605800973231,61.22454602166087,9.367118190987512,154.92294693695766,38.99516557270559,None,8.132036367320172
2020-01-25,West,Rice,Loamy,5.62701373516858,23.22318351187961,28.419810051227373,295.6510007777049,9.513466618347216,176.6929814313225,30.150164071160212,Corn,1.242677772009579
2020-01-26,South,Rice,Sandy,7.675695456301875,35.38221880996271,30.202710696085806,149.29928261414867,5.657531513684479,100.3791734728647,35.65743574912632,Rice,4.219404780764288
2020-01-27,South,Rice,Loamy,7.356159951690829,33.24287565879035,25.829001010321015,51.34098439187555,9.237600479814333,138.50173640617828,45.77049404892838,Corn,6.7714035417880565
2020-01-28,North,Rice,Sandy,5.980523164069039,15.774435361856266,29.70028565126375,222.23125701091183,10.286204783513629,185.8445882181117,38.699036367297744,Rice,8.048331452721333
2020-01-29,South,Corn,Loamy,6.240132240519958,35.4375115266272,34.26138081545772,120.21377883331739,8.015751020261817,175.23326311260985,15.852436193674357,None,3.5578780541573196
2020-01-30,South,Rice,Loamy,6.754523895520834,20.083275427699963,34.26412202624154,228.17567499413724,8.755737236046297,126.2359473904152,31.54847231965074,Corn,2.3104068421959845
2020-01-31,West,Wheat,Sandy,6.15996256809089,33.73185796520066,17.65970842143904,269.27747807442927,7.66514221772243,138.7168642850234,44.734085963575055,Rice,4.3312142816046055
2020-02-01,West,Rice,Sandy,6.635665458102154,29.083866464924128,29.682702772364287,148.7408599443235,7.4195097778634125,130.17848580684642,48.30358019223994,Wheat,3.649841120337767
2020-02-02,North,Corn,Sandy,6.186003636151565,24.87750248541716,15.326525461123463,102.78303537002355,9.771810333775111,166.09302545693737,11.396098366124026,Rice,4.6805711109320605
2020-02-03,South,Rice,Clay,6.86110938319588,18.209751898462912,33.65049667120023,281.53308659206584,8.922670680048373,115.99776625169685,24.432505022916562,Wheat,6.343572370083179
